Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.3p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,152.4,-86.36,-90,top
C2,4.3p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.7,-86.36,-90,top
D5,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,146.05,-115.57,0,top
D6,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.905,-123.19,90,top
D7,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,163.195,-99.06,90,top
D8,LED,LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,128.905,-99.06,90,top
J2,USB_C_Receptacle_PowerOnly_6P,USB_C_Receptacle_HRO_TYPE-C-31-M-17,153.67,-132.715,0,top
L1,"2.2u, 2A",L_1008_2520Metric_Pad1.43x2.20mm_HandSolder,153.67,-115.57,180,top
Q1,T2N7002AK,SOT-23,144.78,-110.49,-90,top
Q2,T2N7002AK,SOT-23,158.115,-99.06,0,top
Q3,T2N7002AK,SOT-23,133.985,-99.06,180,top
R1,1.24M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,150.495,-86.36,-90,top
R3,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.78,-105.41,0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,144.78,-107.315,180,top
R6,1.24M,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,141.605,-86.36,-90,top
R7,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,149.225,-110.49,-90,top
R8,7.32k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,138.43,-123.825,180,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,135.255,-120.65,90,top
R10,180k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,158.75,-120.65,-90,top
R11,20k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,153.67,-123.825,180,top
R12,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,150.495,-127,180,top
R13,5.1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,156.845,-127,180,top
R14,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.35,-120.65,90,top
R15,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,158.115,-95.885,0,top
R16,1.2k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,133.985,-95.885,180,top
U1,ATtiny1604-SS,SOIC-14_3.9x8.7mm_P1.27mm,142.875,-99.06,0,top
U2,DRV8210DRLR,SOT-563,154.94,-106.68,0,top
U3,DRV8210DRLR,SOT-563,138.0225,-108.585,180,top
U4,LMV358,VSSOP-8_3x3mm_P0.65mm,146.05,-86.36,180,top
U7,BQ21040DBV,SOT-23-6,138.43,-120.65,0,top
U8,TLV61070ADBV,SOT-23-6,153.67,-120.65,0,top
XC1,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,144.78,-92.075,180,top
XC2,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.97,-92.075,180,top
XC3,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.605,-120.65,-90,top
XC4,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,150.495,-120.65,90,top
XC5,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,156.845,-120.65,-90,top
XC6,10u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.43,-116.205,0,top
XC7,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,154.94,-108.585,180,top
XC8,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.0225,-106.68,0,top
XC9,0.1u,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,146.05,-83.185,0,top
